Model,MAE,RMSE,R2,Forecast_Horizon
Linear Regression,10.021494285097312,16.674591043149327,0.8793313573932705,1
Random Forest,7.706650792960271,14.503271768294121,0.9087115118166504,1
XGBoost,7.490257872739936,14.04330331192365,0.9144100846723415,1
Linear Regression,22.884692895314707,32.35314208380482,0.5462294405899422,6
Random Forest,18.621233540597295,28.368137764667235,0.6511288634260497,6
XGBoost,18.0241721998945,27.40974579304446,0.6743032679604977,6
Linear Regression,26.000536001953318,35.404770931426754,0.456971953740383,12
Random Forest,21.980175651340065,31.75463126889429,0.5631696232822738,12
XGBoost,21.249226993161997,30.91806840479762,0.5858826842893308,12
Linear Regression,19.618009555204775,29.37695085600321,0.6218852454152871,24
Random Forest,19.40134566032933,29.588023321257573,0.6164322405361041,24
XGBoost,19.044542946504862,29.245592041210557,0.6252591598584907,24
