original,normalized,canonical
station_id,station_id,station_id
station_name,station_name,station_name
district,district,district
latitude,latitude,latitude
longitude,longitude,longitude
time,time,time
interval,interval,interval
temperature_2m,temperature_2m,temperature
relative_humidity_2m,relative_humidity_2m,humidity
dew_point_2m,dew_point_2m,dew_point
precipitation,precipitation,precipitation
surface_pressure,surface_pressure,pressure
cloud_cover,cloud_cover,cloud_cover
wind_speed_10m,wind_speed_10m,wind_speed
wind_direction_10m,wind_direction_10m,wind_direction
wind_gusts_10m,wind_gusts_10m,wind_gust
