station_name                            , mean  , median, std  , min, max
Avidipta Housing Complex                ,  82.65,   63.0, 68.28,   1, 533
"Ballygunge Campus, C.U                ", 111.57,   86.0, 72.61,   2, 457
Bethune College                         ,  93.37,   71.0, 64.41,  20, 387
Dhapa Lock Pumping Station              ,  99.93,   80.0, 63.11,   2, 524
"East Calcutta Girls College, Lake Town",  92.67,   74.0, 61.99,   4, 541
Flora Fountain                          ,  96.5 ,   85.0, 60.14,   2, 468
Fortis Hospital                         ,  76.74,   58.0, 54.25,  18, 413
Lady Brabourne College                  ,  96.41,   73.0, 67.85,   6, 406
Leather Complex                         ,  86.27,   72.0, 59.82,   2, 694
Lorreto College                         ,  97.15,   78.0, 64.26,  15, 459
Madhyamgram Municipality                , 101.97,   82.0, 68.52,   7, 419
Maulana Azad Collage                    ,  80.75,   67.0, 50.01,  12, 406
Presidency University                   ,  97.21,   71.0, 74.64,   5, 420
Sarojini Naidu College for Women        ,  92.94,   76.0, 64.37,   2, 697
Sarsuna College                         ,  81.12,   67.0, 59.93,   1, 531
Urbana Housing Complex                  ,  81.87,   71.0, 51.94,   1, 498
"VIVEKANANDA COLLEGE FOR WOMEN, BARISHA",  78.88,   64.0, 56.58,   1, 409
